Date,Dwarf,Winnings
2012-10-08T21:52:03-07:00,Grumpy,2396
2012-10-30T11:26:24-07:00,Grumpy,2446
2012-04-28T05:55:22-07:00,Happy,3236
2012-11-05T10:14:27-08:00,Happy,5465
2012-10-13T06:55:10-07:00,Grumpy,4739
2012-01-23T15:28:54-08:00,Doc,5331
2012-09-30T09:55:27-07:00,Sneezy,9410
2012-10-26T12:49:44-07:00,Grumpy,4142
2012-12-29T02:37:21-08:00,Sleepy,9501
2012-05-10T15:07:08-07:00,Bashful,5732
2012-01-21T08:11:09-08:00,Happy,7269
2012-01-20T02:34:09-08:00,Grumpy,9241
2012-01-03T10:37:14-08:00,Doc,2434
2012-07-09T19:49:40-07:00,Dopey,2703
2012-02-27T20:24:12-08:00,Doc,5830
2012-02-29T07:11:15-08:00,Happy,6010
2012-03-08T10:08:29-08:00,Grumpy,5673
2012-04-10T08:36:34-07:00,Bashful,7137
2012-06-09T00:05:13-07:00,Grumpy,1479
2012-04-10T09:41:52-07:00,Sleepy,6764
2012-03-20T08:27:05-07:00,Sleepy,2868
2012-01-04T10:48:18-08:00,Grumpy,8072
2012-06-15T04:52:42-07:00,Happy,8968
2012-05-10T00:17:39-07:00,Doc,9998
2012-06-22T02:24:33-07:00,Happy,603
2012-03-15T00:55:43-07:00,Doc,2553
2012-04-08T13:24:51-07:00,Dopey,1583
2012-05-29T08:00:35-07:00,Doc,8000
2012-02-18T21:46:05-08:00,Sneezy,3502
2012-04-09T11:31:38-07:00,Sneezy,7363
2012-11-30T03:56:39-08:00,Bashful,9309
2012-10-10T04:59:50-07:00,Bashful,6807
2012-01-19T20:13:57-08:00,Sleepy,9297
2012-09-29T00:00:16-07:00,Doc,6280
2012-06-10T00:31:20-07:00,Sleepy,8363
2012-07-25T18:03:42-07:00,Sneezy,7802
2012-10-16T17:39:55-07:00,Sneezy,5979
2012-07-26T11:24:52-07:00,Dopey,5142
2012-04-24T07:05:49-07:00,Sneezy,5127
2012-06-02T13:36:51-07:00,Sneezy,1786
2012-09-13T20:22:10-07:00,Bashful,134
2012-02-14T12:06:56-08:00,Sneezy,7589
2012-02-19T05:29:26-08:00,Happy,2583
2012-07-24T06:34:39-07:00,Bashful,3284
2012-10-12T15:26:27-07:00,Dopey,4687
2012-01-13T00:50:55-08:00,Dopey,9828
2012-05-30T19:23:53-07:00,Sneezy,1134
2012-08-26T09:10:02-07:00,Sleepy,7556
2012-05-09T10:39:11-07:00,Dopey,5663
2012-04-05T13:39:11-07:00,Happy,2893
2012-04-05T08:22:50-07:00,Sneezy,4066
2012-03-04T20:13:47-08:00,Sleepy,6571
2012-09-13T11:53:51-07:00,Bashful,1348
2012-12-27T14:33:57-08:00,Sneezy,3935
2012-11-13T05:11:30-08:00,Happy,2915
2012-08-07T12:41:18-07:00,Bashful,3726
2012-06-03T02:49:52-07:00,Happy,2078
2012-12-09T08:49:57-08:00,Sneezy,7429
2012-09-16T10:31:31-07:00,Doc,5319
2012-02-04T16:30:11-08:00,Grumpy,3309
2012-08-11T16:51:52-07:00,Happy,4580
2012-08-23T06:07:05-07:00,Sneezy,6756
2012-11-11T07:30:06-08:00,Sleepy,5709
2012-01-24T01:43:07-08:00,Sleepy,3634
2012-07-15T06:29:59-07:00,Bashful,8247
2012-07-25T13:19:04-07:00,Doc,4685
2012-02-22T23:32:58-08:00,Dopey,8779
2012-06-26T20:12:45-07:00,Happy,4660
2012-03-20T02:31:05-07:00,Grumpy,1615
2012-12-24T06:12:50-08:00,Bashful,1821
2012-05-06T22:07:29-07:00,Happy,3470
2012-10-12T08:11:21-07:00,Dopey,7292
2012-12-08T16:00:46-08:00,Sleepy,1377
2012-08-22T12:59:20-07:00,Sleepy,8925
2012-10-08T03:12:17-07:00,Sneezy,6656
2012-09-02T02:23:53-07:00,Bashful,1522
2012-01-20T09:37:17-08:00,Dopey,9260
2012-07-29T05:01:30-07:00,Doc,2106
2012-05-07T09:04:45-07:00,Bashful,5257
2012-12-16T13:11:42-08:00,Doc,476
2012-01-12T11:21:31-08:00,Dopey,9721
2012-04-18T23:58:44-07:00,Doc,7968
2012-03-13T12:24:23-07:00,Sleepy,6710
2012-12-22T08:18:52-08:00,Sleepy,686
2012-09-26T20:22:38-07:00,Bashful,5672
2012-04-13T20:16:32-07:00,Sneezy,2020
2012-04-27T21:03:49-07:00,Bashful,7517
